DISC_NR,filename
269,"Xenosaga Episode II - Jenseits von Gut und Boese (Europe) (En,Fr,De) (Disc 1)"
270,"Xenosaga Episode II - Jenseits von Gut und Boese (Europe) (En,Fr,De) (Disc 2)"
272,"God of War (Europe, Australia) (En,Fr,De,Es,It)"
273,"Final Fantasy X-2 (Europe, Australia)"
274,"Breath of Fire - Dragon Quarter (Europe) (En,Fr,De,Es,It)"
275,"Dark Chronicle (Europe) (En,Fr,De,Es,It)"
276,"Mortal Kombat - Deception (Europe, Australia) (En,Fr,De,Es,It)"
277,"Soulcalibur II (Europe) (En,Fr,De,Es,It)"
278,"Mortal Kombat - Deadly Alliance (Europe, Australia) (En,Fr,De,Es,It)"
279,Disgaea - Hour of Darkness (Europe)
281,Minority Report - Everybody Runs (Europe)
282,"Devil May Cry (Europe) (En,Fr,De,Es,It)"
283,"Medal of Honor - Frontline (Europe, Australia) (En,Es,It)"
284,"Dropship - United Peace Force (Europe, Australia) (En,Fr,De,Es,It)"
286,"Demo Disc (Europe) (En,Fr,De,Es,It) (PBPX-95514)"
320,"EyeToy - Kinetic (Europe, Australia) (En,Fr,De,Es,It,Pt,No)"
321,"Tekken 4 (Europe, Australia) (En,Fr,De,Es,It) (v2.00)"
328,Crimson Sea 2 (Europe)
336,"Official PlayStation 2 Magazine Demo 64 (Europe) (En,Fr,De,Es,It)"
342,Metal Gear Solid 2 - Sons of Liberty (Japan)
353,Metal Gear Solid 3 - Snake Eater (Japan) (Premium Package)
359,"Gran Turismo 4 (Europe, Australia) (En,Fr,De,Es,It)"
363,"Official PlayStation 2 Magazine Demo 71 (Europe) (En,Fr,De,Es,It)"
364,"Metal Gear Solid 2 - Substance (Europe) (En,Fr,De,Es,It)"
365,Xenosaga Episode I - Der Wille zur Macht (USA)
390,"Jak II - Renegade (Europe, Australia) (En,Ja,Fr,De,Es,It,Ko)"
394,"Resident Evil 4 (Germany) (En,Fr,De,Es,It)"
397,Grandia II (Europe)
398,"R-Type Final (Europe) (En,Fr,De)"
399,"Soulcalibur III (Europe, Australia) (En,Fr,De,Es,It) (v1.00)"
400,Unlimited Saga (Europe)
401,"Syberia II (Europe) (En,Fr,De,Es,It)"
403,"Killer7 (Europe) (En,Fr,De)"
404,"Contra - Shattered Soldier (Europe) (En,Fr,De,Es,It)"
405,"Zone of the Enders (Europe) (En,Fr,De,It)"
407,Final Fantasy X (Germany)
408,Online Start-Up Disc 4.0 (USA)
409,Online Start-Up Disc v3.0 (USA) (Rev 2)
410,"Network Access Disc (Europe) (En,Fr,De,Es,It) (v3.00)"
413,"Tekken 5 (Europe, Australia) (En,Fr,De,Es,It)"
414,"EyeToy - Play (Europe, Australia) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)"
420,"Demo Disc (Europe) (En,Fr,De,Es,It) (PBPX-95520)"
421,"Getaway, The (Europe) (En,Fr,De,Es,It) (v1.03)"
425,Resident Evil - Code - Veronica X (USA)
427,Metal Gear Solid 2 - Sons of Liberty (USA)
428,"Metal Gear Solid 2 - Substance (Japan) (En,Ja)"
429,"Metal Gear Solid 3 - Subsistence (USA) (En,Es) (Disc 1) (Subsistence)"
430,Onimusha 2 - Samurai's Destiny (USA)
431,"Silent Hill 2 (Europe) (En,Ja,Fr,De,Es,It)"
432,Devil May Cry (USA)
433,"FIFA 2001 (Europe) (En,De,Es,Nl,Sv)"
434,"Quake III - Revolution (Europe) (En,Fr,It)"
436,Xenosaga Episode II - Jenseits von Gut und Boese (USA) (Disc 1)
437,Xenosaga Episode II - Jenseits von Gut und Boese (USA) (Disc 2)
438,"Official PlayStation 2 Magazine Demo 77 (Europe, Australia) (En,Fr,De,Es,It)"
442,"Demo Disc (Europe) (En,Fr,De,Es,It) (PBPX-95506)"
448,"Mortal Kombat - Shaolin Monks (Europe) (En,Fr,De,Es,It)"
450,"Resident Evil - Code - Veronica X (Europe) (En,Fr,De,Es)"
451,"Official PlayStation 2 Magazine Demo 69 (Europe) (En,Fr,De,Es,It)"
452,"Demo Disc (Europe) (En,Fr,De,Es,It) (PBPX-95205)"
453,"Dead or Alive 2 (Europe) (En,Fr,De,Es,It)"
454,"Need for Speed - Underground 2 (Europe) (En,Fr,De,Es,It,Nl,Sv,Da) (v1.01)"
465,Metal Gear Solid 2 - Sons of Liberty - Trial Edition (USA) (Demo)
467,"Document of Metal Gear Solid 2, The (Europe)"
470,Shadow of the Colossus (USA)
471,God of War (USA)
472,Kingdom Hearts (USA)
476,Biohazard - Outbreak (Japan)
479,"Bouncer, The (Europe) (En,Fr,De,Es,It)"
481,Ico (USA)
484,"Sly Raccoon (Europe) (En,Fr,De,Es,It)"
487,"Urban Reign (Europe) (En,Fr,De,Es,It)"
488,"Jak and Daxter - The Precursor Legacy (Europe) (En,Ja,Fr,De,Es,It)"
489,"Commandos - Strike Force (Europe) (En,Fr,De,Es,It)"
490,Hitman - Blood Money (Europe)
502,"Headhunter (Europe) (En,Fr,De,Es,It)"
503,"Sega Mega Drive Collection (Europe, Australia) (En,Fr,De,Es,It)"
510,"Grand Theft Auto III (Europe, Australia) (En,Fr,De,Es,It) (v1.60)"
511,"Grand Theft Auto - Vice City (Europe) (En,Fr,De,Es,It) (v2.03)"
517,Tony Hawk's Underground (Europe)
518,"EyeToy - Play 3 (Europe, Australia) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,El)"
519,Hitman - Contracts (Europe)
520,"Beat Down - Fists of Vengeance (Europe) (En,Fr,De,Es,It)"
521,"Warriors, The (Europe, Australia) (En,Fr,De,Es,It)"
535,"Official PlayStation 2 Magazine Demo 83 (Europe) (En,Fr,De,Es,It)"
540,"Medal of Honor - European Assault (Europe) (En,Nl,Sv,Da)"
542,"Medal of Honor - Rising Sun (Europe, Australia) (En,It,Nl,Sv,Da)"
555,Disgaea 2 - Cursed Memories (Europe)
556,Devil May Cry (Europe) (Demo)
561,"Vietcong - Purple Haze (Europe) (En,Fr,De,Es)"
572,"Black (Europe) (En,Fr,De,Es,It) (Demo)"
589,Lara Croft Tomb Raider - Anniversary (USA)
611,PES 6 - Pro Evolution Soccer (Europe)
620,"Conflict - Global Storm (Europe) (En,Fr,De,Es,It)"
623,"Star Wars - Episode III - Revenge of the Sith (Europe) (En,Es,It)"
624,Max Payne 2 - The Fall of Max Payne (Europe)
626,Ace Combat 04 - Shattered Skies (USA)
627,Guitar Hero II (USA)
635,Call of Duty 2 - Big Red One (Europe)
637,WRC II Extreme - Special Demo (Europe) (Demo 1)
638,"Official PlayStation 2 Magazine Demo 16 (Europe, Australia) (En,Fr,De,Es,It)"
639,"Official PlayStation 2 Magazine Demo 62 (UK) (En,Fr,De,Es,It)"
640,"Official PlayStation 2 Magazine Demo 31 (Europe, Australia) (En,Fr,De,Es,It) (SCED-51529)"
641,"Getaway, The (Europe) (Demo)"
642,Peter Jackson's King Kong (Europe) (Demo)
643,TOCA Race Driver 3 (Europe) (Honda Civic 2006 Demo)
644,"Official PlayStation 2 Magazine Demo 22 (Europe, Australia) (En,Fr,De,Es,It)"
645,"Official PlayStation 2 Magazine Demo 32 (Europe, Australia) (En,Fr,De,Es,It)"
646,"Official PlayStation 2 Magazine Demo 46 (Europe, Australia) (En,Fr,De,Es,It)"
647,Haven - Call of the King (Europe) (Demo)
652,Guilty Gear X2 (USA)
657,Guilty Gear X (USA)
658,Capcom Fighting Evolution (USA)
659,State of Emergency (USA)
660,Maximo - Ghosts to Glory (USA)
661,Suikoden III (USA)
662,Madden NFL 2003 (USA)
664,Sega^3 Demo (Europe)
668,God of War II (USA)
669,Odin Sphere (USA)
670,"Official PlayStation 2 Magazine Demo 44 (Europe, Australia) (En,Fr,De,Es,It)"
679,Guilty Gear X Plus (Japan)
681,"Grand Theft Auto III (USA, Canada)"
682,"Jak and Daxter - The Precursor Legacy (USA) (En,Fr,De,Es,It)"
686,Final Fantasy XII (USA)
699,Guitar Hero (USA)
713,"EyeToy - Play 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,El) (v3.03)"
715,"Dragon Quest - The Journey of the Cursed King (Europe, Australia) (En,Fr,De,Es,It)"
717,"Primal (Europe) (En,Fr,De,Es,It)"
718,Summoner 2 (Germany)
719,Final Fantasy X-2 (Germany)
720,"Onimusha - Warlords (Europe) (En,Fr,De)"
721,"Suikoden IV (Europe) (En,Fr,De,Es,It)"
722,Wizardry - Tale of the Forsaken Land (Europe)
723,"X-Men Legends II - Rise of Apocalypse (Europe) (En,Fr,De)"
724,"Baldur's Gate - Dark Alliance II (Europe, Australia) (En,Fr,De)"
725,"Champions of Norrath (Europe) (En,Fr,De)"
726,"Suikoden Tactics (Europe) (En,Fr,De,Es,It)"
741,"Colin McRae Rally 3 (Europe, Australia) (En,Fr,De,Es,It)"
754,Xenosaga Episode III - Also sprach Zarathustra (USA) (Disc 1)
755,Xenosaga Episode III - Also sprach Zarathustra (USA) (Disc 2)
760,"Need for Speed - Underground (Europe) (En,Fr,De,Es,It,Nl,Sv)"
761,Kingdom Hearts II (USA)
762,"GrimGrimoire (USA) (En,Ja)"
770,"Mortal Kombat - Armageddon (Europe) (En,Fr,De,Es,It)"
811,"Twisted Metal - Black (Europe) (En,Fr,De,Es,It)"
831,"Ring of Red (Europe) (En,Fr,De)"
832,"True Crime - Streets of LA (Europe) (En,Fr,De,Es,It)"
877,"Ghosthunter (Europe) (En,Ru,El)"
878,"Soulcalibur III (Europe, Australia) (En,Fr,De,Es,It) (v2.00)"
885,"Destroy All Humans! 2 (Europe) (En,Fr,De,Es,It)"
899,Dragon Quest VIII - Journey of the Cursed King (USA)
900,Final Fantasy XII (USA) (Demo)
916,"Prince of Persia - The Sands of Time (Europe) (En,Fr,De,Es,It)"
917,"Prince of Persia - The Two Thrones (Europe, Australia) (En,Fr,De,Es,It)"
918,"WRC - Rally Evolved (Europe, Australia) (En,Fr,De,Es,It,Pt,No,Fi) (v2.00)"
919,"Sopranos, The - Road to Respect (Europe, Australia) (En,Es)"
920,"Primal (Russia) (En,Ru)"
921,"Ratchet - Gladiator (Europe, Australia) (En,Fr,De,Es,It)"
939,"Dog's Life (Europe, Australia) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)"
940,"Formula One 06 (Europe, Australia) (En,Fr,De,Es,It,Pt,Fi)"
941,"Lemmings (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)"
942,"Stuart Little 3 - Big Photo Adventure (Europe, Australia) (En,Fr,De,Es,It,Nl,Pt,Fi,Pl)"
943,"Tom Clancy's Splinter Cell - Double Agent (Europe) (En,Fr,De)"
944,"Tourist Trophy - The Real Riding Simulator (Europe) (En,Fr,De,Es,It)"
945,"Ant Bully, The (Europe) (En,Fr)"
946,"DreamWorks & Aardman Flushed Away (Europe) (En,Fr,De,Es,It)"
947,"MotoGP 4 (Europe, Australia) (En,Fr,De,Es,It)"
948,"Nickelodeon Barnyard (Europe, Australia)"
949,"Getaway, The - Black Monday (Europe) (En,Pt,Ru,El) (v2.00)"
950,"Jak X (Europe, Australia) (En,Fr,De,Es,It,Pt,Ru)"
951,"24 - The Game (Europe, Australia) (En,Fr,De,Es,It,Nl,Pl,Cs,Hu) (v2.00)"
952,"Cold Fear (USA) (En,Fr,Es)"
953,"Devil May Cry 3 - Dante's Awakening (USA) (En,Ja) (Special Edition)"
954,"Driv3r (USA, Canada) (En,Fr,Es)"
955,"Gran Turismo 4 (USA, Canada) (v1.01)"
956,Headhunter - Redemption (USA)
957,Resident Evil - Outbreak - File 2 (USA)
958,Star Ocean - Till the End of Time (USA) (Disc 1)
959,Star Ocean - Till the End of Time (USA) (Disc 2)
960,Soulcalibur II (USA)
961,SpyHunter 2 (USA)
962,"Rayman - Raving Rabbids (Europe) (En,Fr,De,Es,It,Nl)"
963,"Official PlayStation 2 Magazine Demo 80 (Europe, Australia) (En,Fr,De,Es,It)"
979,Devil May Cry 2 (USA) (Disc 1)
980,Devil May Cry 2 (USA) (Disc 2)
985,Oni (USA)
986,"Official PlayStation 2 Magazine Demo 66 (Europe, Australia) (En,Fr,De,Es,It)"
987,"Official PlayStation 2 Magazine Demo 76 (Europe, Australia) (En,Fr,De,Es,It)"
998,"SCEE Hits Demo (Europe, Australia) (En,Fr,De,Es,It)"
1007,"Official PlayStation 2 Magazine Demo 79 (Europe, Australia) (En,Fr,De,Es,It)"
1013,"Grand Theft Auto - Vice City (Europe) (En,Fr,De,Es,It) (v1.50)"
1047,"Project Zero (Europe) (En,Fr,De,Es,It)"
1048,"Resident Evil - Outbreak (Europe, Australia) (En,Fr,De,Es,It)"
1058,Star Ocean - Till the End of Time (Europe) (Disc 1)
1059,Star Ocean - Till the End of Time (Europe) (Disc 2)
1060,"Black (Europe, Australia)"
1061,"Mortal Kombat - Deadly Alliance (Germany) (En,Fr,De,Es,It)"
1062,"Shadow of Memories (Europe) (En,Fr,De,Es,It)"
1064,"Silent Hill 3 (Europe) (En,Fr,De,Es,It)"
1065,"Silent Hill 4 - The Room (Europe) (En,Fr,De,Es,It)"
1066,"Network Access Disc (Europe) (En,Fr,De,Es,It,Nl,Pt) (v1.02)"
1070,PlayStation Underground Jampack - Summer 2002 (USA)
1073,"Grand Theft Auto - San Andreas (Europe, Australia) (En,Fr,De,Es,It) (v1.03)"
1074,"Grand Theft Auto - San Andreas (Europe, Australia) (En,Fr,De,Es,It) (v2.01)"
1076,Call of Duty 3 (Europe)
1077,"Baldur's Gate - Dark Alliance (Europe, Australia) (En,Fr,De,Es,It)"
1081,"Need for Speed - Carbon - Collector's Edition (Europe, Australia)"
1083,Star Wars - Battlefront (USA)
1084,"F1 Championship Season 2000 (Europe) (En,Fr,De,Es,It)"
1085,"Pro Evolution Soccer (Europe) (En,Fr,De) (v1.02)"
1097,"Burnout Revenge (Europe, Australia) (En,Fr,De)"
1104,"Need for Speed - Hot Pursuit 2 (Europe, Australia) (En,Fr,De,Es,It,Sv) (v1.00)"
1105,"SOCOM 3 - U.S. Navy SEALs (Europe) (En,Fr,De,Es,It)"
1106,Devil May Cry (USA) (Demo)
1107,"Grand Theft Auto - Liberty City Stories (Europe, Australia) (En,Fr,De,Es,It)"
1108,"FIFA Football 2004 (Europe) (En,It,Nl,Sv) (v2.00)"
1129,"Official PlayStation 2 Magazine Demo 65 (Europe) (En,Fr,De,Es,It)"
1144,"SSX 3 (Europe) (En,Fr,De,Es) (v2.00)"
1145,"Call of Duty - Finest Hour (Europe, Australia)"
1157,"Metal Slug 3 (Europe) (En,Fr,De,Es,It)"
1160,"Driver - Parallel Lines (Europe) (En,Fr,De)"
1166,"Metal Gear Solid 3 - Subsistence (USA) (En,Es) (Disc 2) (Persistence)"
1168,Tenchu - Fatal Shadows (Europe)
1215,"Grand Theft Auto III (Australia) (En,Fr,De,Es,It)"
1221,"Virtua Tennis 2 - Sega Professional Tennis (Europe) (En,Fr,De,Es)"
1225,"Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It)"
1237,"Official PlayStation 2 Magazine Demo 45 (Europe, Australia) (En,Fr,De,Es,It)"
1298,"Lord of the Rings, The - The Two Towers (USA)"
1299,Unreal Tournament (USA)
1300,Tetris Worlds (USA)
1301,Quake III - Revolution (USA)
1302,NHL 2002 (USA)
1303,NASCAR 2001 (USA)
1315,Legacy of Kain - Soul Reaver 2 (USA) (v1.01)
1318,XII Stag (Europe)
1326,"Crash Bandicoot - The Wrath of Cortex (Europe) (En,Fr,De,Es,It,Nl) (v2.01)"
1327,Oni (Europe)
1328,"Metal Slug 4 (Europe, Australia)"
1343,"Rumble Roses (Europe) (En,Fr,De,Es,It)"
1344,Assault Suits Valken (Europe)
1384,"Official PlayStation 2 Magazine Demo 81 (Europe, Australia) (En,Fr,De,Es,It)"
1388,"Enter the Matrix (Europe) (En,Fr,De,Es,It) (v1.01)"
1390,"Burnout 3 - Takedown (Europe, Australia) (En,Es,Nl,Sv)"
1392,"Chaos Legion (Europe) (En,Fr,De,Es,It)"
1395,"EyeToy - Chat (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)"
1414,Bonus Demo 8 (Old) (Europe)
1415,Ridge Racer V (USA)
1434,"Shadow the Hedgehog (Europe, Australia) (En,Ja,Fr,De,Es,It)"
1462,"Fallout - Brotherhood of Steel (Europe) (En,Fr,De)"
1463,"Kingdom Hearts II (Europe, Australia)"
1487,"Dragon Ball Z - Budokai (Europe, Australia) (En,Fr,De,Es,It)"
1521,"Crash Tag Team Racing (Europe, Australia) (En,Fr,De,Es,It,Nl)"
1536,"Red Star, The (Europe, Australia) (En,Fr,De,Es,It)"
1537,"Biker Mice from Mars (Europe) (En,Fr,De,Es,It)"
1540,Makai Kingdom - Chronicles of the Sacred Tome (Europe)
1544,Spider-Man (USA) (v1.00)
1623,Guitar Hero III - Legends of Rock (USA)
1675,Spyro - A Hero's Tail (USA)
1689,"Legend of Spyro, The - A New Beginning (USA)"
1697,"Matrix, The - Path of Neo (USA)"
1773,Buzz! The Big Quiz (Europe) (v1.01)
1824,"Final Fantasy XII (Europe, Australia)"
1825,"Driv3r (Europe, Australia) (En,Fr,De,It)"
1826,50 Cent - Bulletproof (Europe)
1827,"Stealth Force - The War on Terror (Europe) (En,Es)"
1828,"Canis Canem Edit (Europe, Australia) (En,Fr,De,Es,It)"
1988,"WinBack - Covert Operations (USA) (En,Ja)"
2093,"Psyvariar - Complete Edition (Europe) (En,Ja,Fr,De)"
2126,Atelier Iris 2 - The Azoth of Destiny (USA)
2127,"Bard's Tale, The (USA)"
2182,Hitman 2 - Silent Assassin (USA) (v1.01)
2183,Mega Man X Collection (USA)
2184,X-Men Legends (USA)
2185,Mega Man X8 (USA)
2186,Mega Man X - Command Mission (USA)
2192,Taiko no Tatsujin - Doki! Shinkyoku Darake no Haru Matsuri (Japan)
2305,"Dragon Ball Z - Budokai 2 (Europe) (En,Fr,De,Es,It)"
2307,Rock Band (USA)
2350,Mad Maestro! (USA)
2390,FireBlade (USA) (Demo)
2422,GoDai - Elemental Force (USA)
2427,Final Fantasy X (France)
2436,"Need for Speed - Carbon (USA, Canada)"
2437,"Burnout 3 - Takedown (USA, Canada)"
2438,"Fantavision (Europe) (En,Fr,De,Es,It)"
2439,"Forbidden Siren 2 (Europe) (En,Fr,De,Es,It)"
2440,Grand Theft Auto - Vice City (USA) (v1.40)
2442,Gran Turismo 3 - A-Spec (USA) (v1.10)
2443,Smuggler's Run (USA)
2444,Forbidden Siren (Europe)
2448,ZooCube (Europe)
2450,Futurama (USA)
2451,Midnight Club II (USA)
2452,"Burnout Dominator (USA, Canada)"
2453,SpyHunter (USA)
2454,"Simpsons, The - Road Rage (USA)"
2460,"XIII (Europe, Australia) (En,Fr,De,Es,It)"
2461,X-Men - Next Dimension (Europe)
2462,X-Men Legends (Europe)
2463,Valkyrie Profile 2 - Silmeria (USA)
2464,Hidden Invasion (USA)
2479,"Official PlayStation 2 Magazine Demo 92 (Europe) (En,Fr,De,Es,It)"
2486,WWE SmackDown! Here Comes the Pain (Europe)
2509,"God of War II (Europe, Australia) (En,Fr,De,Es,It,Ru)"
2514,Sega Genesis Collection (USA)
2515,Arc the Lad - Twilight of the Spirits (USA)
2523,"X-Files, The - Resist or Serve (Europe)"
2525,Hyper Street Fighter II - The Anniversary Edition (Europe)
2558,"This Is Football 2002 (Europe) (En,Fr,De,Es,It,Nl)"
2573,Ys IV - Mask of the Sun - A New Theory (Japan)
2578,"Getaway, The (Australia) (En,Fr,De,Es,It) (v3.00)"
2579,"Xyanide - Resurrection (Europe) (En,Fr,De,Es,It)"
2580,X-Men 2 - Wolverine's Revenge (Europe)
2581,"Godfather, The (Europe) (En,Nl,Pt,Sv,Da,Pl)"
2604,Final Fantasy XII (Germany)
2606,"Steel Dragon EX (Europe) (En,Fr,De,Es)"
2645,Simple 2000 Series Vol. 32 - The Sensha (Japan)
2657,Network Adaptor Start-Up Disc (USA) (v1.01)
2663,ATV Offroad Fury 2 (USA) (v2.00)
2690,"SingStar (Europe, Australia)"
2694,"Lord of the Rings, The - The Third Age (Europe) (En,Nl,Pt,Sv,Pl)"
2695,"Guitar Hero III - Legends of Rock (Europe, Australia)"
2783,Ys I & II - Eternal Story (Japan) (Tokubetsu Genteiban)
2784,Ys I & II - Eternal Story (Japan)
2793,Ys III - Wanderers from Ys (Japan)
2808,"Tales of Destiny - Director's Cut (Japan, Asia)"
2811,"Time Crisis 3 (Europe, Australia) (En,Fr,De,Es,It)"
2821,SSX on Tour (USA) (Demo)
2822,Destroy All Humans! 2 (USA) (Demo)
2830,Yourself!Fitness (USA)
2831,Marvel vs. Capcom 2 - New Age of Heroes (USA)
2833,Viewtiful Joe 2 (USA)
2854,Virtua Fighter 4 (USA)
2855,Turok - Evolution (USA)
2856,Mortal Kombat - Deadly Alliance (USA)
2857,Medal of Honor - Frontline (USA)
2861,Tekken Tag Tournament (USA) (v2.00)
2862,NHL 2K6 (USA)
2863,TOCA Race Driver 3 (USA) (Demo)
2864,Gauntlet - Dark Legacy (USA)
2870,"Crash Bandicoot - The Wrath of Cortex (Europe) (En,Fr,De,Es,It,Nl) (v1.03)"
2906,"Twisted Metal - Head-On - Extra Twisted Edition (USA, Canada)"
2914,"Sly 3 - Honour Among Thieves (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)"
2916,"Prince of Persia - The Sands of Time (USA) (En,Fr,Es)"
2918,Red Faction II (USA)
2919,Grand Theft Auto - San Andreas (USA) (v1.03)
2932,"Demo Disc (Europe) (En,Fr,De,Es,It) (PBPX-95204)"
2973,Dot Hack G.U. Vol. 3 - Redemption (USA)
3025,Dragon Ball Z - Budokai 3 (USA)
3066,Yamasa Digi World SP - Umi Ichiban R (Japan)
3071,Simple 2000 Series Vol. 27 - The Pro Yakyuu - 2003 Pennant Race (Japan)
3073,J.League Tactics Manager - Realtime Soccer Simulation (Japan)
3082,SOCOM - U.S. Navy SEALs - Combined Assault (USA)
3107,"Wreckless - The Yakuza Missions (Europe) (En,Fr,De)"
3108,"This Is Football 2004 (Europe) (Fr,De,It,Nl)"
3109,"This Is Football 2003 (Europe) (En,Fr,De,Es,It,Nl,Pt)"
3173,Mortal Kombat - Armageddon (USA)
3191,Mortal Kombat - Shaolin Monks (USA)
3202,Mortal Kombat - Deception (USA)
3311,"Viewtiful Joe (Europe, Australia) (En,Fr,De,Es,It)"
3330,"Stuntman (Europe) (En,Fr,De,Es,It)"
3372,"Arctic Thunder (Europe) (En,Fr,De)"
3406,"Devil May Cry 3 - Dante's Awakening (Europe) (En,Fr,De,Es,It) (Special Edition)"
3439,DoDonPachi Dai-Ou-Jou (Japan)
3440,"Castlevania (Europe) (En,Fr,De,Es,It)"
3441,Ace Combat Zero - The Belkan War (USA)
3442,"Ace Combat 5 - The Unsung War (USA) (En,Ja)"
3444,Espgaluda (Japan)
3445,"Gradius V (Europe) (En,Fr,De,Es,It)"
3446,"Fahrenheit (Europe) (En,Fr,De,Es)"
3447,Freak Out (Europe)
3448,"Enter the Matrix (Europe) (En,Fr,De,Es,It) (v2.00)"
3449,"Lara Croft Tomb Raider - Legend (Europe) (En,Fr,De,Es,It)"
3450,"X-Men - The Official Game (Europe) (En,Fr,Es,It)"
3451,"Matrix, The - Path of Neo (Europe)"
3453,"Need for Speed - Most Wanted (Europe, Australia)"
3456,Guilty Gear X2 Reload - The Midnight Carnival (Europe)
3457,Guilty Gear X (Europe)
3458,"Ico (Europe) (En,Fr,De,Es,It)"
3459,"Klonoa 2 - Lunatea's Veil (Europe) (En,Fr,De,Es,It)"
3460,Namco x Capcom (Japan)
3461,"Guitar Hero II (Europe, Australia) (En,Fr,De,Es,It)"
3463,"Burnout (Europe) (En,Fr,De,Es,It)"
3464,"Dirge of Cerberus - Final Fantasy VII (Europe, Australia) (En,Fr,De,Es,It)"
3465,"Grand Theft Auto - Vice City Stories (Europe, Australia) (En,Fr,De,Es,It)"
3466,"Wipeout Fusion (Europe) (En,Fr,De,Es,It)"
3467,"Resident Evil - Dead Aim (Europe) (En,Fr,De,Es,It)"
3468,"Resident Evil - Outbreak - File 2 (Europe) (En,Fr,De,Es,It)"
3469,"Devil May Cry 2 (Europe) (En,Fr,De,Es,It) (Disc 1)"
3470,"Devil May Cry 2 (Europe) (En,Fr,De,Es,It) (Disc 2)"
3471,"Turok - Evolution (Europe) (En,Fr,Es,It)"
3481,"Network Access Disc (Europe) (En,Fr,De,Es,It) (v2.00)"
3482,"Ookami (Europe) (En,Fr,De)"
3483,Persona 3 FES (Japan)
3484,Radiata Stories (USA)
3487,Shin Megami Tensei - Digital Devil Saga (Europe)
3489,Shin Megami Tensei - Devil Summoner - Raidou Kuzunoha vs. the Soulless Army (USA)
3490,"Rez (Japan) (En,Ja)"
3496,Dai-2-ji Super Robot Taisen Alpha (Japan) (Genteiban Collection Figure Box)
3497,Dai-3-ji Super Robot Taisen Alpha - Shuuen no Ginga e (Japan)
3498,Trapt (Europe)
3499,Shin Megami Tensei - Persona 3 (USA)
3500,Shin Megami Tensei - Digital Devil Saga 2 (Europe)
3501,Shin Megami Tensei - Digital Devil Saga 2 (USA)
3528,Super Robot Taisen MX (Japan)
